Código,Nome,Volume,Última (R$),Variação
JOPA4,Josapar,100,35,11,-0,26%
BGIP3,Banese,100,34,50,+8,94%
JOPA3,Josapar,100,21,61,+0,00%
USIM6,Usiminas,100,17,99,+0,00%
BSLI3,Banco de Brasília,100,13,29,+0,00%
BRIV3,Alfa Investimento,100,9,90,-0,50%
RPAD5,Alfa Holdings,100,6,95,+0,00%
NORD3,Nordon,100,5,80,+19,59%
BMKS3,Monark,14,382,05,-3,52%
CEDO3,Cedro Têxtil,1.152.500,6,85,+2,24%
MGEL4,Mangels,2.500,12,50,-2,95%
TEKA4,Teka,2.400,16,05,-0,93%
MOAR3,Monteiro Aranha,700,370,00,-1,07%
AFLT3,Afluente T,700,9,00,+2,62%
PLAS3,Plascar,700,8,00,+0,00%
ENMT3,Energisa MT,200,66,00,+0,03%
GSHP3,General Shopping & Outlets,200,15,66,+0,19%
UNIP5,Unipar,100,85,78,+0,86%
ESTR4,Estrela,100,38,00,+1,33%
CBEE3,Ampla Energia,100,12,20,-6,37%
BMEB3,Banco Mercantil do Brasil,100,10,58,+0,19%
FRIO3,Metalfrio,1.200,20,00,+0,00%
CRDE3,CR2,500,14,99,-0,07%
HETA4,Hercules,200,3,62,-4,74%
LUXM4,Trevisa,100,80,00,-1,84%
BNBR3,Banco do Nordeste,100,79,50,+6,00%
FESA3,Ferbasa,100,57,50,+0,10%
CSRN5,COSERN,100,26,58,+11,03%
CSRN6,COSERN,100,23,01,-4,12%
CALI3,Adolpho Lindenberg,100,9,40,+0,00%
LIPR3,Eletropar,600,72,52,+1,28%
ENMT4,Energisa MT,100,68,80,+0,00%
BMIN4,Banco Mercantil de Investimentos,100,13,50,+4,09%
BAUH4,Excelsior,1.400,75,00,-3,97%
HBTS5,Habitasul,300,28,00,+0,00%
RPAD3,Alfa Holdings,200,6,89,+5,67%
PEAB3,Participações Aliança da Bahia,100,30,04,+0,03%
AHEB3,São Paulo Turismo,100,20,00,+0,00%
CGAS3,Comgás,300,123,60,+2,36%
CEEB5,COELBA,100,35,00,-3,71%
BRGE12,Consórcio Alfa,100,9,80,+3,27%
MERC4,Mercantil do Brasil Financeira,2.600,7,50,+1,35%
CSAB3,Cia. de Seg. Aliança da Bahia,300,28,40,-1,25%
CSAB4,Cia. de Seg. Aliança da Bahia,200,52,00,+14,69%
BRGE3,Consórcio Alfa,200,9,79,+1,45%
MAPT4,Cemepe,200,6,82,-33,20%
TKNO4,Tekno,400,58,50,+0,00%
CEED3,CEEE D,100,30,90,+0,00%
CTNM3,Coteminas,1.000,3,85,-3,75%
SNSY3,Sansuy,700,4,35,-0,46%
EKTR3,Elektro,100,36,07,+0,19%
BRKM6,Braskem,100,16,50,-10,81%
CEED4,CEEE D,100,30,00,-14,29%
GPAR3,CELGPAR,200,41,92,-8,87%
BMIN3,Banco Mercantil de Investimentos,600,16,45,-11,08%
BALM3,Baumer,300,9,90,+0,00%
MTSA3,METISA,200,75,00,+0,00%
BRGE8,Consórcio Alfa,100,9,70,+0,00%
MAPT3,Cemepe,100,30,05,-19,87%
DTCY3,Dtcom,100,5,30,+6,00%
SOND5,Sondotécnica,100,36,00,+0,00%
ELET5,Eletrobras,500,65,00,+0,00%
PATI3,Panatlântica,100,50,60,+3,27%
EQPA7,Equatorial Pará,18.400,8,00,+0,00%
WLMM3,WLM,200,22,00,+2,33%
BRGE6,Consórcio Alfa,200,10,51,-12,42%
COCE3,Coelce,100,57,00,-1,21%
DMFN3,DMFN3,1.800,14,61,+0,00%
SOND6,Sondotécnica,600,32,35,+0,00%
MRSA5B,MRS Logística,100,27,00,+22,39%
WIZS3,WIZS3,779.400,7,16,+1,99%
LLIS3,LLIS3,249.800,1,73,+2,98%
MSPA3,Melhoramentos,400,46,25,-7,52%
BRML3,BRMalls,16.132.900,8,26,+2,35%
DMMO3,Dommo Energia,3.254.800,1,76,-1,12%
EQPA5,Equatorial Pará,100,8,64,+0,93%
GETT3,Getnet,46.500,2,40,+1,27%
GETT4,Getnet,18.500,2,40,+1,27%
SULA4,SulAmérica,18.600,7,63,+5,53%
SULA3,SulAmérica,4.000,7,43,+1,50%
MSPA4,Melhoramentos,600,41,00,-0,85%
AHEB6,São Paulo Turismo,100,19,31,-3,45%
CTKA3,Karsten,200,21,46,-1,20%
